cloud,tree_id,dbh_method,volume_method,dbh_cm,height_m,cbc_rel_m,cbc_abs_m,volume_m3,mass_kg,commercial_volume_m3,commercial_mass_kg,status,n_trunk_pts,n_commercial_pts
talhao_62_25x25_round2_crop_100,35,single_ransac,frustum,,19.94979965686798,19.94979965686798,20.77079963684082,8.568076932510463,7711.269239259417,8.56807693251044,7711.269239259396,ok,465,465
talhao_62_25x25_round2_crop_100,35,single_ransac,axis_profile,,19.94979965686798,19.94979965686798,20.77079963684082,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,465,465
talhao_62_25x25_round2_crop_100,35,ls,cylinder,55.41739492291945,19.94979965686798,19.94979965686798,20.77079963684082,4.81194475932473,4330.750283392257,4.81194475932473,4330.750283392257,ok,465,465
talhao_62_25x25_round2_crop_100,35,ls,voxel,55.41739492291945,19.94979965686798,19.94979965686798,20.77079963684082,0.056750000000000016,51.07500000000002,0.056750000000000016,51.07500000000002,ok,465,465
talhao_62_25x25_round2_crop_100,35,ls,taper,55.41739492291945,19.94979965686798,19.94979965686798,20.77079963684082,,,,,error: Insuficientes amostras de raio para o método taper.,465,465
talhao_62_25x25_round2_crop_100,35,ls,frustum,55.41739492291945,19.94979965686798,19.94979965686798,20.77079963684082,8.568076932510836,7711.269239259753,8.568076932510822,7711.26923925974,ok,465,465
talhao_62_25x25_round2_crop_100,35,ls,axis_profile,55.41739492291945,19.94979965686798,19.94979965686798,20.77079963684082,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,465,465
talhao_62_25x25_round2_crop_100,36,ensemble,cylinder,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: dbh_cm or CBC is missing for cylinder volume,265,190
talhao_62_25x25_round2_crop_100,36,ensemble,voxel,,13.951699614524841,6.557298818826675,8.013298789262771,0.03262500000000001,29.362500000000008,0.023375000000000007,21.037500000000005,ok,265,190
talhao_62_25x25_round2_crop_100,36,ensemble,taper,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insuficientes amostras de raio para o método taper.,265,190
talhao_62_25x25_round2_crop_100,36,ensemble,frustum,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insuficientes amostras de raio para o método frustum.,265,190
talhao_62_25x25_round2_crop_100,36,ensemble,axis_profile,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,265,190
talhao_62_25x25_round2_crop_100,36,single_ransac,cylinder,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: dbh_cm or CBC is missing for cylinder volume,265,190
talhao_62_25x25_round2_crop_100,36,single_ransac,voxel,,13.951699614524841,6.557298818826675,8.013298789262771,0.03262500000000001,29.362500000000008,0.023375000000000007,21.037500000000005,ok,265,190
talhao_62_25x25_round2_crop_100,36,single_ransac,taper,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insuficientes amostras de raio para o método taper.,265,190
talhao_62_25x25_round2_crop_100,36,single_ransac,frustum,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insuficientes amostras de raio para o método frustum.,265,190
talhao_62_25x25_round2_crop_100,36,single_ransac,axis_profile,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,265,190
talhao_62_25x25_round2_crop_100,36,ls,cylinder,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: dbh_cm or CBC is missing for cylinder volume,265,190
talhao_62_25x25_round2_crop_100,36,ls,voxel,,13.951699614524841,6.557298818826675,8.013298789262771,0.03262500000000001,29.362500000000008,0.023375000000000007,21.037500000000005,ok,265,190
talhao_62_25x25_round2_crop_100,36,ls,taper,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insuficientes amostras de raio para o método taper.,265,190
talhao_62_25x25_round2_crop_100,36,ls,frustum,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insuficientes amostras de raio para o método frustum.,265,190
talhao_62_25x25_round2_crop_100,36,ls,axis_profile,,13.951699614524841,6.557298818826675,8.013298789262771,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,265,190
talhao_62_25x25_round2_crop_100,39,ensemble,cylinder,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: dbh_cm or CBC is missing for cylinder volume,524,524
talhao_62_25x25_round2_crop_100,39,ensemble,voxel,,18.688599824905396,18.688599824905396,20.851699829101562,0.06462500000000002,58.162500000000016,0.06462500000000002,58.162500000000016,ok,524,524
talhao_62_25x25_round2_crop_100,39,ensemble,taper,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: Insuficientes amostras de raio para o método taper.,524,524
talhao_62_25x25_round2_crop_100,39,ensemble,frustum,,18.688599824905396,18.688599824905396,20.851699829101562,0.5847792259906839,526.3013033916155,0.5847792259906888,526.3013033916199,ok,524,524
talhao_62_25x25_round2_crop_100,39,ensemble,axis_profile,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: Insufficient valid slices for 'axis_profile' volume estimation.,524,524
talhao_62_25x25_round2_crop_100,39,single_ransac,cylinder,,18.688599824905396,18.688599824905396,20.851699829101562,,,,,error: dbh_cm or CBC is missing for cylinder volume,524,524
