cloud,tree_id,method,dbh_cm,status,n_values
diego_talhao_62fixedname_round2_crop_25,156,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,156,ls,16.69595556479492,ok,0
diego_talhao_62fixedname_round2_crop_25,157,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,157,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,157,ls,73.55598093418865,ok,0
diego_talhao_62fixedname_round2_crop_25,159,ensemble,85.87031554867897,ok,6
diego_talhao_62fixedname_round2_crop_25,159,single_ransac,78.85575306891457,ok,0
diego_talhao_62fixedname_round2_crop_25,159,ls,83.15798127914712,ok,0
diego_talhao_62fixedname_round2_crop_25,163,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,163,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,163,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,176,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,176,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,176,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,177,ensemble,44.803558624146696,ok,1
diego_talhao_62fixedname_round2_crop_25,177,single_ransac,24.262191166100774,ok,0
diego_talhao_62fixedname_round2_crop_25,177,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,180,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,180,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,180,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,206,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,206,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,206,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,207,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,207,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,207,ls,53.6605312472066,ok,0
diego_talhao_62fixedname_round2_crop_25,230,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,230,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,230,ls,125.13236834056376,ok,0
diego_talhao_62fixedname_round2_crop_25,750,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,750,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,750,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,754,ensemble,33.068186515373604,ok,4
diego_talhao_62fixedname_round2_crop_25,754,single_ransac,28.888359050024746,ok,0
diego_talhao_62fixedname_round2_crop_25,754,ls,34.41629371214842,ok,0
diego_talhao_62fixedname_round2_crop_25,770,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,770,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,770,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,772,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,772,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,772,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,792,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,792,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,792,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,795,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,795,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,795,ls,61.15300990459568,ok,0
diego_talhao_62fixedname_round2_crop_25,812,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,812,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,812,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,813,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,813,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,813,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,814,ensemble,28.194826547093015,ok,3
diego_talhao_62fixedname_round2_crop_25,814,single_ransac,48.51953309653557,ok,0
diego_talhao_62fixedname_round2_crop_25,814,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,815,ensemble,,none,0
diego_talhao_62fixedname_round2_crop_25,815,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,815,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,828,ensemble,91.16473896442861,ok,5
diego_talhao_62fixedname_round2_crop_25,828,single_ransac,73.6746379349354,ok,0
diego_talhao_62fixedname_round2_crop_25,828,ls,100.95990024296803,ok,0
diego_talhao_62fixedname_round2_crop_25,829,ensemble,123.61193539382833,ok,1
diego_talhao_62fixedname_round2_crop_25,829,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,829,ls,,none,0
diego_talhao_62fixedname_round2_crop_25,855,ensemble,56.87175823430653,ok,1
diego_talhao_62fixedname_round2_crop_25,855,single_ransac,,none,0
diego_talhao_62fixedname_round2_crop_25,855,ls,79.58255274971947,ok,0
